"","Date","Colony","Ant.ID","Pair.ID","Ant.In.Pair","Time","Junction","Entered.From","Exited.Toward","Action..inspect.ignore.","Inspect","Num.Inspections","Node.From","Node.To","Direction.From","Width.From","Rel.Width.From","Direction.To","Width.To","Rel.Width.To","Turn.Type","Turn.Width","Turn.Trunk"
"103","6/22/21","21-SP3","2A","2","A",NA,"10",NA,"1",NA,FALSE,4,"11","1","left",0.34,"narrow","main",0.45,"wide","R","=","to.trunk"
"104","6/22/21","21-SP3","2A","2","A",NA,"10","1",NA,NA,FALSE,4,"1","12","main",0.45,"wide","right",0.45,"wide","R","W","away.from.trunk"
"105","6/22/21","21-SP3","2A","2","A",NA,"12",NA,NA,NA,FALSE,4,"10","122","main",0.45,"wide","right",0.45,"wide","R","W","away.from.trunk"
"106","6/22/21","21-SP3","2A","2","A",NA,"122",NA,NA,NA,FALSE,4,"12","1222","main",0.45,"wide","right",0.34,"narrow","R","N","away.from.trunk"
"107","6/22/21","21-SP3","2A","2","A",NA,"122",NA,NA,NA,FALSE,4,"1222","1221","right",0.34,"narrow","left",0.45,"wide","R","=","away.from.trunk"
"108","6/22/21","21-SP3","2A","2","A",NA,"122",NA,NA,NA,FALSE,5,"1221","1222","left",0.45,"wide","right",0.34,"narrow","L","N","away.from.trunk"
"109","6/22/21","21-SP3","2A","2","A",NA,"122",NA,NA,NA,FALSE,5,"1222","12","right",0.34,"narrow","main",0.45,"wide","L","=","to.trunk"
"110","6/22/21","21-SP3","2A","2","A",NA,"12",NA,NA,NA,FALSE,5,"122","10","right",0.45,"wide","main",0.45,"wide","L","W","to.trunk"
"111","6/22/21","21-SP3","2A","2","A",NA,"10",NA,NA,NA,FALSE,5,"12","1","right",0.45,"wide","main",0.45,"wide","L","W","to.trunk"
"112","6/22/21","21-SP3","2A","2","A",NA,"1",NA,NA,NA,FALSE,5,"10","3","left",0.45,"narrow","main",0.6,"wide","R","=","to.trunk"
"113","6/22/21","21-SP3","2A","2","A",NA,"3",NA,NA,NA,FALSE,5,"1","5","left",0.6,"wide","main",0.6,"wide","R","W","to.trunk"
"114","6/22/21","21-SP3","2A","2","A",NA,"5",NA,NA,NA,FALSE,5,"3","50","left",0.6,"wide","right",0.45,"narrow","L","N","away.from.trunk"
"115","6/22/21","21-SP3","2A","2","A",NA,"50",NA,NA,NA,FALSE,5,"5","52","main",0.45,"wide","right",0.34,"narrow","R","N","away.from.trunk"
"116","6/22/21","21-SP3","2B","2","B","16:30","0",NA,"2",NA,FALSE,0,"-1","2","right",0.45,"narrow","left",0.6,"wide","R","=","away.from.trunk"
"117","6/22/21","21-SP3","2B","2","B",NA,"0","2",NA,NA,FALSE,0,"2","2","left",0.6,"wide","left",0.6,"wide","U",NA,NA
"118","6/22/21","21-SP3","2B","2","B",NA,"2",NA,NA,NA,FALSE,0,"0","20","main",0.6,"wide","right",0.45,"narrow","R","N","away.from.trunk"
"119","6/22/21","21-SP3","2B","2","B",NA,"20",NA,NA,NA,FALSE,0,"2","22","main",0.45,"wide","right",0.34,"narrow","R","N","away.from.trunk"
