"Junction","Direction.From","Width.From","Node.From","Rel.Width.From","Direction.To","Width.To","Node.To","Rel.Width.To","Turn.Type","Turn.Width","Turn.Trunk","Junction.Handedness","Turn.Angle","isUTurn","isSharpTurn","sharpIsLeft","Angle.From","Sharp.Turn.Prob","U.Turn.Prob","Turn.Probability"
"12","right",0.45,"122","wide","main",0.45,"10","wide","L","W","to.trunk","LH","shallow",FALSE,FALSE,FALSE,"shallow",0.299331596979977,0.159500659355306,0.588911330748901
"12","right",0.45,"122","wide","left",0.34,"121","narrow","R","N","away.from.trunk","LH","sharp",FALSE,TRUE,FALSE,"shallow",0.299331596979977,0.159500659355306,0.251588009895794
"12","right",0.45,"122","wide","right",0.45,"122","wide","U",NA,NA,"LH",NA,TRUE,NA,FALSE,"shallow",0.299331596979977,0.159500659355306,0.159500659355306
"20","main",0.45,"2","wide","main",0.45,"2","wide","U",NA,NA,"RH",NA,TRUE,NA,FALSE,"main",0.546816897212879,0.247988620209972,0.247988620209972
"20","main",0.45,"2","wide","left",0.45,"21","wide","L","W","away.from.trunk","RH","shallow",FALSE,FALSE,FALSE,"main",0.546816897212879,0.247988620209972,0.340798850424469
"20","main",0.45,"2","wide","right",0.34,"22","narrow","R","N","away.from.trunk","RH","sharp",FALSE,TRUE,FALSE,"main",0.546816897212879,0.247988620209972,0.411212529365559
"20","left",0.45,"21","wide","main",0.45,"2","wide","R","W","to.trunk","RH","shallow",FALSE,FALSE,TRUE,"shallow",0.216314789637616,0.159500659355306,0.658686902582582
"20","left",0.45,"21","wide","left",0.45,"21","wide","U",NA,NA,"RH",NA,TRUE,NA,TRUE,"shallow",0.216314789637616,0.159500659355306,0.159500659355306
"20","left",0.45,"21","wide","right",0.34,"22","narrow","L","N","away.from.trunk","RH","sharp",FALSE,TRUE,TRUE,"shallow",0.216314789637616,0.159500659355306,0.181812438062112
"20","right",0.34,"22","narrow","main",0.45,"2","wide","L","=","to.trunk","RH","shallow",FALSE,FALSE,FALSE,"sharp",0.574377941824194,0.0805532756482322,0.391336807201602
"20","right",0.34,"22","narrow","left",0.45,"21","wide","R","=","away.from.trunk","RH","sharp",FALSE,TRUE,FALSE,"sharp",0.574377941824194,0.0805532756482322,0.528109917150166
"20","right",0.34,"22","narrow","right",0.34,"22","narrow","U",NA,NA,"RH",NA,TRUE,NA,FALSE,"sharp",0.574377941824194,0.0805532756482322,0.0805532756482322
"21","main",0.45,"20","wide","main",0.45,"20","wide","U",NA,NA,"LH",NA,TRUE,NA,TRUE,"main",0.438076493849876,0.247988620209972,0.247988620209972
"21","main",0.45,"20","wide","left",0.34,"211","narrow","L","N","away.from.trunk","LH","sharp",FALSE,TRUE,TRUE,"main",0.438076493849876,0.247988620209972,0.329438508593623
"21","main",0.45,"20","wide","right",0.45,"212","wide","R","W","away.from.trunk","LH","shallow",FALSE,FALSE,TRUE,"main",0.438076493849876,0.247988620209972,0.422572871196405
"21","left",0.34,"211","narrow","main",0.45,"20","wide","R","=","to.trunk","LH","shallow",FALSE,FALSE,TRUE,"sharp",0.465790006713483,0.0805532756482322,0.491177628443268
"21","left",0.34,"211","narrow","left",0.34,"211","narrow","U",NA,NA,"LH",NA,TRUE,NA,TRUE,"sharp",0.465790006713483,0.0805532756482322,0.0805532756482322
"21","left",0.34,"211","narrow","right",0.45,"212","wide","L","=","away.from.trunk","LH","sharp",FALSE,TRUE,TRUE,"sharp",0.465790006713483,0.0805532756482322,0.4282690959085
"21","right",0.45,"212","wide","main",0.45,"20","wide","L","W","to.trunk","LH","shallow",FALSE,FALSE,FALSE,"shallow",0.299331596979977,0.159500659355306,0.588911330748901
"21","right",0.45,"212","wide","left",0.34,"211","narrow","R","N","away.from.trunk","LH","sharp",FALSE,TRUE,FALSE,"shallow",0.299331596979977,0.159500659355306,0.251588009895794
"21","right",0.45,"212","wide","right",0.45,"212","wide","U",NA,NA,"LH",NA,TRUE,NA,FALSE,"shallow",0.299331596979977,0.159500659355306,0.159500659355306
"22","main",0.34,"20","wide","main",0.34,"20","wide","U",NA,NA,"LH",NA,TRUE,NA,TRUE,"main",0.438076493849876,0.247988620209972,0.247988620209972
"22","main",0.34,"20","wide","left",0.25,"221","narrow","L","N","away.from.trunk","LH","sharp",FALSE,TRUE,TRUE,"main",0.438076493849876,0.247988620209972,0.329438508593623
"22","main",0.34,"20","wide","right",0.34,"222","wide","R","W","away.from.trunk","LH","shallow",FALSE,FALSE,TRUE,"main",0.438076493849876,0.247988620209972,0.422572871196405
"22","left",0.25,"221","narrow","main",0.34,"20","wide","R","=","to.trunk","LH","shallow",FALSE,FALSE,TRUE,"sharp",0.465790006713483,0.0805532756482322,0.491177628443268
"22","left",0.25,"221","narrow","left",0.25,"221","narrow","U",NA,NA,"LH",NA,TRUE,NA,TRUE,"sharp",0.465790006713483,0.0805532756482322,0.0805532756482322
"22","left",0.25,"221","narrow","right",0.34,"222","wide","L","=","away.from.trunk","LH","sharp",FALSE,TRUE,TRUE,"sharp",0.465790006713483,0.0805532756482322,0.4282690959085
"22","right",0.34,"222","wide","main",0.34,"20","wide","L","W","to.trunk","LH","shallow",FALSE,FALSE,FALSE,"shallow",0.299331596979977,0.159500659355306,0.588911330748901
"22","right",0.34,"222","wide","left",0.25,"221","narrow","R","N","away.from.trunk","LH","sharp",FALSE,TRUE,FALSE,"shallow",0.299331596979977,0.159500659355306,0.251588009895794
"22","right",0.34,"222","wide","right",0.34,"222","wide","U",NA,NA,"LH",NA,TRUE,NA,FALSE,"shallow",0.299331596979977,0.159500659355306,0.159500659355306
"30","main",0.45,"3","wide","main",0.45,"3","wide","U",NA,NA,"LH",NA,TRUE,NA,TRUE,"main",0.438076493849876,0.247988620209972,0.247988620209972
"30","main",0.45,"3","wide","left",0.34,"31","narrow","L","N","away.from.trunk","LH","sharp",FALSE,TRUE,TRUE,"main",0.438076493849876,0.247988620209972,0.329438508593623
"30","main",0.45,"3","wide","right",0.45,"32","wide","R","W","away.from.trunk","LH","shallow",FALSE,FALSE,TRUE,"main",0.438076493849876,0.247988620209972,0.422572871196405
"30","left",0.34,"31","narrow","main",0.45,"3","wide","R","=","to.trunk","LH","shallow",FALSE,FALSE,TRUE,"sharp",0.465790006713483,0.0805532756482322,0.491177628443268
"30","left",0.34,"31","narrow","left",0.34,"31","narrow","U",NA,NA,"LH",NA,TRUE,NA,TRUE,"sharp",0.465790006713483,0.0805532756482322,0.0805532756482322
"30","left",0.34,"31","narrow","right",0.45,"32","wide","L","=","away.from.trunk","LH","sharp",FALSE,TRUE,TRUE,"sharp",0.465790006713483,0.0805532756482322,0.4282690959085
"30","right",0.45,"32","wide","main",0.45,"3","wide","L","W","to.trunk","LH","shallow",FALSE,FALSE,FALSE,"shallow",0.299331596979977,0.159500659355306,0.588911330748901
"30","right",0.45,"32","wide","left",0.34,"31","narrow","R","N","away.from.trunk","LH","sharp",FALSE,TRUE,FALSE,"shallow",0.299331596979977,0.159500659355306,0.251588009895794
"30","right",0.45,"32","wide","right",0.45,"32","wide","U",NA,NA,"LH",NA,TRUE,NA,FALSE,"shallow",0.299331596979977,0.159500659355306,0.159500659355306
"31","main",0.34,"30","wide","main",0.34,"30","wide","U",NA,NA,"LH",NA,TRUE,NA,TRUE,"main",0.438076493849876,0.247988620209972,0.247988620209972
"31","main",0.34,"30","wide","left",0.25,"311","narrow","L","N","away.from.trunk","LH","sharp",FALSE,TRUE,TRUE,"main",0.438076493849876,0.247988620209972,0.329438508593623
"31","main",0.34,"30","wide","right",0.34,"312","wide","R","W","away.from.trunk","LH","shallow",FALSE,FALSE,TRUE,"main",0.438076493849876,0.247988620209972,0.422572871196405
"31","left",0.25,"311","narrow","main",0.34,"30","wide","R","=","to.trunk","LH","shallow",FALSE,FALSE,TRUE,"sharp",0.465790006713483,0.0805532756482322,0.491177628443268
"31","left",0.25,"311","narrow","left",0.25,"311","narrow","U",NA,NA,"LH",NA,TRUE,NA,TRUE,"sharp",0.465790006713483,0.0805532756482322,0.0805532756482322
